dataset,gpu,ngpu,method,feat_dim,N,M,part_s,step_ms,peak_mb_max,halo_rows,maxdiff,same_result,status,note
jodie-wikipedia,NVIDIA H100 80GB HBM3,1,single,256,9227,157474,0.02,0.2,39.9,0,1.9073486328125e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,2,hash,256,9227,157474,0.0,0.38,23.0,5941,2.1457672119140625e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,2,metis-aware,256,9227,157474,0.04,0.37,21.1,1808,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,2,zord-mc-aware,256,9227,157474,0.04,0.37,21.9,2411,2.384185791015625e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,2,zord-stream-aware,256,9227,157474,0.03,0.38,23.1,5459,1.9073486328125e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,2,zord-stream-mem,256,9227,157474,0.03,0.38,22.8,5522,2.5033950805664062e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,2,tensor-split,256,9227,157474,0.0,0.16,17.4,0,1.6689300537109375e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,4,hash,256,9227,157474,0.0,1.03,12.9,11436,3.0994415283203125e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,4,metis-aware,256,9227,157474,0.04,1.01,11.2,3876,1.9073486328125e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,4,zord-mc-aware,256,9227,157474,0.05,1.03,12.0,4279,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,4,zord-stream-aware,256,9227,157474,0.03,1.03,13.5,10517,2.1457672119140625e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,4,zord-stream-mem,256,9227,157474,0.03,1.02,13.0,10542,2.384185791015625e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,4,tensor-split,256,9227,157474,0.0,0.23,10.6,0,1.9073486328125e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,8,hash,256,9227,157474,0.0,3.69,7.4,16669,3.337860107421875e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,8,metis-aware,256,9227,157474,0.04,3.73,6.3,5973,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,8,zord-mc-aware,256,9227,157474,0.06,3.76,6.4,6558,2.384185791015625e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,8,zord-stream-aware,256,9227,157474,0.04,3.73,7.5,15314,2.384185791015625e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,8,zord-stream-mem,256,9227,157474,0.05,3.75,7.4,15215,3.337860107421875e-06,True,OK,
jodie-wikipedia,NVIDIA H100 80GB HBM3,8,tensor-split,256,9227,157474,0.0,0.46,7.3,0,2.5033950805664062e-06,True,OK,
