dataset,gpu,ngpu,method,feat_dim,N,M,part_s,step_ms,peak_mb_max,halo_rows,maxdiff,same_result,status,note
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,1,single,256,9227,157474,0.03,0.24,39.9,0,2.1457672119140625e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,2,hash,256,9227,157474,0.0,0.85,23.0,5941,1.6689300537109375e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,2,metis-aware,256,9227,157474,0.05,0.54,21.1,1808,2.1457672119140625e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,2,zord-mc-aware,256,9227,157474,0.07,0.54,22.4,1934,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,2,zord-stream-aware,256,9227,157474,0.03,0.82,23.1,5459,2.5033950805664062e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,4,hash,256,9227,157474,0.0,1.78,12.9,11436,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,4,metis-aware,256,9227,157474,0.04,1.56,11.2,3876,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,4,zord-mc-aware,256,9227,157474,0.07,1.57,11.8,4005,2.1457672119140625e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,4,zord-stream-aware,256,9227,157474,0.04,1.66,13.5,10517,2.5033950805664062e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,8,hash,256,9227,157474,0.0,10.29,7.4,16669,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,8,metis-aware,256,9227,157474,0.05,6.09,6.3,5973,2.6226043701171875e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,8,zord-mc-aware,256,9227,157474,0.09,6.16,6.6,6187,2.384185791015625e-06,True,OK,
jodie-wikipedia,NVIDIA RTX 5000 Ada Generation,8,zord-stream-aware,256,9227,157474,0.05,9.84,7.5,15314,2.6226043701171875e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,1,single,256,1140149,7833140,0.02,45.57,4662.4,0,7.867813110351562e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,2,hash,256,1140149,7833140,0.0,86.26,2699.2,702182,7.867813110351562e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,2,metis-aware,256,1140149,7833140,3.72,64.47,2802.8,430693,7.867813110351562e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,2,zord-mc-aware,256,1140149,7833140,1.26,63.42,2812.8,416458,8.821487426757812e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,2,zord-stream-aware,256,1140149,7833140,0.29,73.58,2917.7,538487,5.841255187988281e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,4,hash,256,1140149,7833140,0.0,116.08,1539.8,1255532,4.291534423828125e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,4,metis-aware,256,1140149,7833140,4.79,78.36,1664.9,717789,7.271766662597656e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,4,zord-mc-aware,256,1140149,7833140,1.33,86.38,1602.7,804639,9.298324584960938e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,4,zord-stream-aware,256,1140149,7833140,0.33,94.01,2039.4,837559,8.344650268554688e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,8,hash,256,1140149,7833140,0.0,153.95,872.8,1696391,7.867813110351562e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,8,metis-aware,256,1140149,7833140,5.68,90.76,971.7,914284,7.152557373046875e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,8,zord-mc-aware,256,1140149,7833140,1.43,96.31,1223.2,1032051,4.708766937255859e-06,True,OK,
wiki-talk,NVIDIA RTX 5000 Ada Generation,8,zord-stream-aware,256,1140149,7833140,0.41,121.31,1575.1,1005738,7.3909759521484375e-06,True,OK,
stackoverflow,,,,,,,,,,,,,FAIL,OSError: [Errno 122] Disk quota exceeded
